,c1,t1,c2,c3,c4,c5,c6,t2,t3,t4,t5,t6
Tbc1d15,1504.99947,1252.99998,1196.00067,1148.9997,1301.00038,1466.9991,1305.00015,1471.99972,1224.0004,1179.99963,1296.00071,1136.00043
Tbc1d16,186.00014,154,170,115,166.99959,66,136.99967,107,136.00007,63.99998,130,123.99956
Tbc1d17,617.37416,628.65032,507.75642,465.53662,564.44992,464.81272,542.3467,462.9326,473.08752,487.38507,599.76294,480.97862
Tbc1d19,48,73,26.999945,54.00001,44.0000299,20.99997,35.000022,49.00005,40.00002,38.99998,50.00002,51
Tbc1d2,143.99998,159.52242,178.9998,245.99951,172.00049,104.99994,143.00005,191.99981,195.9995,220.0003,150.0004,172.99996
Tbc1d20,1580.99718,1460.00494,1602.99969,1452.00456,1836.00406,2017.99927,1758.00433,1594.99524,1449.00413,1623.00282,1626.00266,1537.00313
Tbc1d21,0,0,0,0,0,0,0,0,0,0,0,0
Tbc1d22a,896,704,782.00022,713,825.0001,968,1017,802,708,823.99968,829,779
Tbc1d22b,839.9867,831.0004,943.9698,846.0428,981.9719,830.0112,810.9072,735.9997,886.0001,854.006,730.0149,937.9999
Tbc1d22bos,4,2,10,2,17,6,5,4,3,7,5,17
Tbc1d23,1062.62949,770.89126,840.1420403,725.51407,980.47807,967.04621,1092.22386,868.19251,721.281478,773.45886,811.21827,767.14622
Tbc1d24,1134.74559,638.9727901,1117.436577,517.8083504,1144.56011,885.62043,1007.72229,468.7930057,585.6590945,425.696593,446.962,603.383
Tbc1d25,149.99998,247.9999,176.0000168,193,171.9999,112,159,215.9999,239.000254,255.9991998,202,203.00039
Tbc1d2b,1098.0006,752.00071,772.00151,866.60861,642.7205,566.00021,840.0014,673.62282,731.00084,776.0603,417.01467,506.0321
Tbc1d30,260.58137,308.759,226.05388,242.67554,210.00042,200.99215,262.8785604,302.6184,273.7285,278.60682,279.62823,191.2859495
Tbc1d31,289.9996961,402.00018,345.9995681,342.99953,277.99999,209.000535,255.00037,337.9995636,362.99994,320.99994,302.00033,338.00032
Tbc1d32,228.08545,209.83788,282.1084,200,199.56985,176.11783,207.86682,243.0278,255.57424,237.50214,185.95591,201.99963
Tbc1d4,285.999749,332.9995,279.99973,317.99964,176.9999,121,208.000211,323.00071,383.0001122,244.9996,216.0002101,251.99963
Tbc1d5,565.22567,581.72437,626.1723,506.8295,580.4822,400.0848514,556.70127,552.02405,555.99971,489.23886,396.10784,406.21462
Tbc1d7,98.03323,107.0623,110.02339,124.10362,129.14294,98.00007,100.0738,103.0068,135.00725,139.01005,135.195136,92.06754
Tbc1d8,343.21177,318.8546,254.47479,244.08013,310.15746,254.04534,352.41702,340.5192,223.701328,207.54942,405.80484,203.89607
Tbc1d8b,834.0003,725,932.367,702,842.411,691.843,902,720.997,734.997,667,520,633
Tbc1d9,296.4927,201.751856,229.31777,332.8594123,221.94964,192.79707,293.40606,201.99998,237.58243,229.00027,164.3902,174.895506
Tbc1d9b,1031.99976,935.99973,1020.9991,906.99992,1015.9999,881.000509,983.99936,864.9997466,1102.00066,981.99998,895.00003,996.00047
Tbca,766,765.99978,867.9999,1123.99794,1057.97302,1159.99552,856.00031,789.00022,817.9904,1004.96534,1185.98778,1102
Tbcb,463.3769,429.2187,447.78112,470.22477,708.24922,913.69312,549.48534,490.31199,478.5569,483.7791,710.17032,617.25603
Tbcc,189,180,224,237,248,232,193,194,259,218,241,294
Tbccd1,432.00076,388.00745,405.02299,431.009,329.00523,293.73905,359.00934,322.00031,371.00718,385.99964,296.9998,350.99952
Tbcd,1134.42023,1131.98069,1077.7802,1175.29132,986.47929,997.26385,1196.04865,1097.79798,1136.18041,1123.14811,1175.06503,975.56528
Tbce,555.9825,479.34912,483.24839,543.58166,536.27427,462.29239,569.69969,455.6255,514.53552,459.8807,536.98234,465.275
Tbcel,891.00024,653.00014,1007.99975,698.01873,1241.41091,1229,1174.99968,816.99954,876.99951,919.99987,1082.99983,1081.06183
Tbck,560.99009,447.526576,635.35615,444.51462,568.38514,552.45853,551.49258,493.79616,568.64184,506.49553,467.94818,497.33151
Tbk1,1362.87832,872.36974,985.73116,815.75446,1412.04199,1653.11956,1395.00335,1125.46768,969.05989,912.77646,987.14233,1143.10958
Tbkbp1,6,6.999995318,14.99996,15,15,7.000000012,3.999995103,3.000000142,9,13.00000002,7,13.0000352
Tbl1x,1456.9984,1651.9994,1491.9971,1714.0025,1209.00122,967.99989,1286.99999,1511.00448,1612.00076,1526.9993,1184.99647,1292.99852
Tbl1xr1,1917.849713,1413.34352,1374.27124,1348.88688,1534.71839,1768.00439,1959.7697,1633.51289,1298.176249,1259.60456,1653.69223,1294.71549
Tbl2,831.40103,980.99483,986.75884,1080.09534,732.6381,532.95336,753.01147,872.70516,1065.11379,1008.444,978.9617,790.89249
Tbl3,701.7907,683.5615,660.99826,874.073,668.393,554.27629,623.66983,644.5818,835.48582,741.0558,832.5312,757.88526
Tbp,525.230149,636.16669,547.00595,570.544824,444.81976,389.47092,549.15542,577.87626,647.1440667,542.88472,552.35812,480.67566
Tbpl1,518.9997,553.99958,462.896,473.91301,470.00018,520.99996,505.90236,550.8347,474,432.75027,553.8102,433.9999
Tbpl2,0,0,0,0,0,0,0,0,0,0,0,0
Tbr1,1,4.000001,1,2.00028,1,0,2,1,1,4.00007,0,1
Tbrg1,2106.8554,2105.94933,1979.3181,2478.576,2323.9878,2147.77967,2285.81002,2113.9213,2248.39146,2370.40684,2332.4377,2332.6151
Tbrg4,2054.017586,2236.52387,1911.00604,2603.288762,1784.47189,1398.04103,1916.7883,2168.563014,2321.99921,2401.17162,2158.0731,1880.775309
Tbx1,4,4,2,6,2,2,2,1,5,5,4,0
Tbx10,0,0,1,0,1,0,0,0,0,0,0,0
Tbx15,5,0,0,2.01937,0,1.00002,4,2.06246,0,0,1.00002,0
Tbx18,3.12918,0,0,0,1.63201,0,0,0,1.14395,1.00007,3.32565,1.35315
Tbx19,0,0,0,0,0,0,0,0,0,0,0,0
Tbx2,2,2,2,2,6,2,1,3,1,2,3,2
Tbx20,4.00265,6.16624,1.03055,5.01433,8.0073,1,6.19312,6.03831,2.01245,2.11414,4.04898,3.00032
Tbx21,19,5,10,11,3,6,4,16,9,16,7,4
Tbx22,0,0,1,1.00001,0,1,2,1,0,0,1,0
Tbx3,1368.80168,2748.0016,1859.82832,1057.99981,3042.95242,3349.98524,2185.00312,3404.9547,3630.97795,3266.0039,3443.9841,3098.97587
Tbx3os1,13.19836,12.99999,18.05951,6.00003,8.04618,6.010492121,10,13.04554,15.0209061,7.999996,10.015171,10.8609
Tbx3os2,19,10,14.0008,20.0004,42.0005,58,25,24,44,35.7827,25.9608,42
Tbx4,0,0,0,0,0,0,0,0,0,0,0,0
Tbx5,2.0213,2.03215,5.04211,1.01433,3.03469,2.01388,1.00909,4.03376,3.7242,6.05286,2.00531,3.02268
Tbx6,7.999996,9,1,6,6,3,7,8,2,1,6,6
Tbxa2r,0,2,3,5,0,0,1,1,0,0,2,0
Tbxas1,24.722608,25.9049,23.889284,13.80059,33.7224,18.022894,19.67457,13.41748,18.00399,21.0328,19.36688,19.52084
Tc2n,736.9797,511.60817,501.81008,737.4804,419.9142,460.14043,683.2487,743.96361,504.1955,600.1471,469.83462,394.1962
Tcaf1,99.00007,119.0689,112.06625,141.00006,101.22971,71,83.04268,83.03952,78.08193,69.02514,67.00453,76.0692
Tcaf2,424.0002,296,308,257.00009,284,299.00013,335,249.00048,238,176,214,227
Tcaf3,0,0,0,0,0,0,0,0,0,0,0,0
Tcaim,151.0003,170,143,119,125,122,142,170,155.0004,128.1058,164.0004,139
Tcam1,0,5,2,5,2.00003,3,4,2,3,3.00008,6,7.00006
Tcap,1,3,1,0,0,1,3,0,0,0,1,2
Tcea1,2079.49,2081.3653,1831.77806,2367.32381,1575.9604,1666.1754,1650.5742,2038.97399,1975.5718,1801.89249,1947.5364,1682.1475
Tcea1-ps1,1.4003,0,0,0,0,0,1.3505,0,0,1.35411,0,0
Tcea2,14.99999,20.000005,3.999993635,13.999997,12.0000074,9.000002412,12.99999331,16.000009,11.00000441,8.999996,18.99999,11.00000053
Tcea3,413.99984,428.99992,512.00029,513.9998725,486.9998,381.9998528,429.0003,324,591.9996,393.0001,439.99974,558.9996
Tceal1,11,3,5,5,4,3,5,5,4,3,8,5
Tceal3,0,0,0,0,0,0,0,0,0,0,0,0
Tceal5,1,0,0,0,2,0,2,0,0,0,1,0
Tceal6,0,0,0,0,0,0,0,0,0,0,0,0
Tceal7,0,0,0,0,0,0,0,0,0,0,0,0
Tceal8,17.00503,15,13,14,11,24.99996,12.00374,12,9,5,21,9
Tceal9,551,644,488,804,525,462,431,544,544,515,626,564
Tceanc,71.4654,88.5973,68.72717,74.09572,97.2995,96,97.5416,85.99996,83,69,100.089,74.803
Tceanc2,418.02388,452.00034,364.99964,338.00043,431.99974,330.666204,402.99993,352.00041,306.89634,316.99994,399.0003,360.12621
Tcerg1,1914.00477,2086.0012,1874.00362,2129.00179,1246.00023,986.9998,1531.9971,2057.99793,2259.0025,1948.002222,1635.99829,1335.9998
Tcerg1l,0,0,0,0,0,0,0,0,0,0,0,0
Tcf12,1701.65561,1899.03508,1563.68196,1765.057406,1299.685843,1002.16511,1504.4529,1822.11296,1749.117661,1429.51481,1484.08458,1292.11323
Tcf15,0,0,0,0,0,0,0,0,0,0,0,0
Tcf19,282.9999026,379.99948,319.99974,492,346.99953,248.99991,296.99976,285,409.00006,335.0005,418.00027,423.99975
Tcf20,1093.9967,1056.0013,1002.0003,997.0004,691.9999,565.00046,975.9999,1117.9963,1130.00337,1025.0002,807.00019,722.9997
Tcf21,0,0,1,0,0,0,0,1,0,0,0,0
Tcf23,141,59,123,95,77,101,100,44,57,52,44,38
Tcf24,20.00001,35,15.00004,9,12,9,7,30.00002,20,6.20677,15.68264,22.55434
Tcf25,4334.99941,3967.0037,4031.00488,4032.99153,4339.99888,4084.00721,4445.998576,3977.99506,4109.99293,3855.00185,4291.99421,3939.00643
Tcf3,1386.999609,1648.001295,1589.000091,1870.000094,1335.000424,965.9998,1193.999603,1241.999774,1745.000621,1475.00057,1258.999726,1508.000341
Tcf4,380.10726,374.84675,313.3879397,340.506271,291.9941197,310.6015469,312.99968,385.138859,288.2655359,319.930219,333.0484,298.08132
Tcf7,269.9996,327.99952,235,373.0001,267.9996,157.9996,215.0004,233.0005,355,155,242.9998,287.00038
Tcf7l1,11,12.999976,6,13,11,8,14,5,6,7,13,3
Tcf7l2,716.48786,658.99974,802.30778,1022.00062,905.67825,689.22789,667.82664,694.0001,797.95709,1108.99999,678.74325,730.21041
Tcfl5,0,1,0,0,0,0,0,1,0,0,0,0
Tchh,1,3,3,4,2,3,3,2,3,1,3,1
Tchhl1,0,0,0,0,0,0,0,0,0,0,0,0
Tchp,109.49611,127.67788,95.29566,138.68409,110,66.07931,88.12812,104.96034,148.02558,118.00011,108.48636,104.84853
Tcim,752.654,654.568,729.356,601.848,1230.77,1365.74,1047.95,603.631,709.009,522.109,1168.76,917.561
Tcirg1,684.31966,828.81982,813.32785,851.25297,793.86691,553.0001401,741.24172,691.379,797.64151,831.4111,676.46532,686.7769128
Tcl1,0,0,0,0,0,0,0,0,0,0,0,0
Tcl1b1,0,0,0,0,0,0,0,0,0,0,0,0
Tcl1b2,0,0,0,0,0,0,0,0,0,0,0,0
Tcl1b3,0,0,0,0,0,0,0,0,0,0,0,0
Tcl1b4,0,0,0,0,0,0,0,0,0,0,0,0
Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0
Tcn2,6195.993044,4997.996841,6270.006516,4201.00198,10379.00001,10331.00811,7273.006966,5603.000178,6400.002,5892.004952,7405.992072,8922.998569
Tcof1,939.99913,1167.9999,826,1301.9998,685,499.00048,714.00023,1144.00031,1343.99994,1209.12585,869.99987,934.99958
Tcp1,4908.47637,5611.694229,4513.82691,6211.50579,4145.014977,3996.163375,4412.37244,5252.45965,5248.84075,5095.304429,5575.93823,4713.56711
Tcp1-ps1,0,0,0,0,0,0,0,0,0,0,0,0
Tcp10a,0,0,1.5216,2,12.724,5.09304,2.57422,3.671304266,1,1,2,4.89258
Tcp10b,8,5,8.4784,2,6.27597,2.61603,4.42578,1.32869,1,1,3.000003,3.88292
Tcp10c,0,0,0,0,0,2.29093,0,0,0,0,0,1.2245
Tcp11,10.01234453,8,5.723658,17.27687,10,7.30398,18.09031,11,6,9.1774,8.00000385,10.693624
Tcp11l1,13.17648,8,4.04151,8,8,10,3,9,9,6,8,5.999999
Tcp11l2,103.007,58.009,58.0582,63.0392,40.0325,53.0672,69.0043,70.00525,38.0085,60.1501,55.03301,42.0288
Tcp11x2,0,0,0,0,0,0,0,0,2,0,1,0
Tcstv1,0,0,0,0,0,0,0,0,0,0,0,0
Tcstv3,0,0,0,0,0,0,0,0,0,0,0,0
Tcta,286.0001,285.9998,326.0003,311,453,367.9997,276,266.9998,290.9996,248.0002,335.0003,379.9997
Tcte1,0,0,0,0,0,0,0,0,0,0,0,0
Tcte2,21.000046,29.00005,22.99997,32.000012,18,14,10,25.999993,28,16,19.99999,24.99999
Tctn1,121.57187,147.16035,111.44874,113.88144,100.59152,74.866323,107.81858,104.16943,119.82672,114.29467,122.12588,87.68692
Tctn2,61.00873,69.00415,33.06246,77.00789,50.04848,46.98008,53.01893,56.01002,69.00552,100.78275,56.20367,50.99996
Tctn3,132.00018,155.99961,180.00045,170.00045,148.99996,93,133,123.99996,171.99995,159.99981,127.99996,145.99976
Tdg,1710.53341,1772.29952,1587.97918,2175.40689,1473.916,1425.10766,1604.40683,1920.68236,2106.33264,1929.52737,1932.55762,1683.08246
Tdg-ps,7.20817,3.59184,4.90012,3.68756,7.07095,13.3255,1.28671,1.25888,1.20777,1.21122,1.24737,2.45314
Tdg-ps2,21.2511,11.1111,20.1243,28.8795,10.0029,13.5704,9.29252,20.0561,16.9548,9.25132,11.1903,6.46696
Tdgf1,0,0,0,0,0,1,0,3,0,0,0,0
Tdgf1-ps1,0,0,0,0,0,0,0,0,0,0,0,0
Tdgf1-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Tdh,2,0,0,2,0,4,0,0,1,0,0,0
Tdo2,4,11,4,8,8,2,4,5,1,3,6,5
Tdp1,241.00076,311.99972,214.9997194,317.99972,193.9995957,135.0002776,204.99977,257.99984,326.99952,276.000355,279.00028,261.00007
Tdp2,1563.99907,1057.00015,1329.9993,1193.99952,1834.9993,1696.99959,1602.0001,1104.99997,981.9998,991.0001,1192.0002,1226.9998
Tdpoz1,1.3209,0,0,0,0,1.11127,0,0,0,0,0,0
Tdpoz2,0,0,0,0,0,0,0,0,0,0,0,0
Tdpoz3,0,0,0,0,0,1,0.5,0,0,0,0,1
Tdpoz4,0,0,0,0,0,0,0,0,0,0,0,0
Tdpoz5,0,0,0,0,0,0,0,0,0,0,0,0
Tdpoz6,1,0,0,0,0,0,0,0,0,0,0,0
Tdpoz7,0,0,0,0,0,0,0,0,0,0,0,0
Tdpoz8,0,0,0,0,0,0,0,0,0,0,0,0
Tdpoz9,2.6791,11,7,13,4.5,0,7,6,3.56955,0,6,14.332
Tdpoz9-ps1,0,0,0,0,4.5,8.88873,0,0,6.43045,6,0,5.66797
Tdrd1,29.4324,9.00000325,44.61834309,80.112,14.00005638,7.00280422,8.19147316,30.0000085,56.0670794,53.49250003,15.00733371,21.00421508
Tdrd12,40,33,38.00001089,24.00001,33.99999,45,43,20,29.00003,28.00004,26,37
Tdrd3,356.00032,375.0003,403.9999,438.9999,331.00016,347.00017,363.99967,377.0002,454.0008,401.99953,389.9998,371
Tdrd5,5,6,4,10,6,2,2,7.000003,3,3,0.373223,5
Tdrd6,0,3.000003,0,0,0,0,2,0,0,2,0,0
Tdrd7,794.0003915,714.000158,1052.00069,735.0006,1332.99984,1238.0002,948.00069,778.00059,1001.00018,928.0001,1012.00042,1168.00048
Tdrd9,0,0,0,0,1,0,0,0,1,0,0,0
Tdrkh,5.02445039,12.00005005,13.99999714,12.9999937,2,4.000003,10.0044719,12.00062482,14.02593,8,7.0000024,15.0000269
Tdrp,7,8,4.0000015,3.999998,3,6,1,5.000002,5.000002,3,2,3
Tead1,698.7095027,704.75487,513.3046132,816.3928401,339.8394241,262.5739325,620.3846138,646.23372,600.8789315,619.5934004,398.5421366,338.8888428
Tead2,117.00001,101.000043,80.00002,103.99997,81.99995,44,55.99998,51.00001,65.99995,63.00005002,81.00004,66.866314
Tead3,775.00049,933.0001408,723.99954,792.99981,676.00035,473.5097,620.99955,748.00054,898,811.00004,745.007792,789.000132
Tead4,14,6,8.99999,16.99998,15.00004,13.99999,8.999997071,6,11.000007,15,8,4
Tec,285.00001,336.99982,251.00009,159.9999001,273.00039,279.000311,305.9997,327.00016,209.0003,209.00009,358.0004184,226
Tecpr1,498.00002,450.11466,453.05402,477.00033,556.07022,453.00023,521.34428,367.06748,539.12665,527.079873,415.82604,448.06023
Tecpr2,275.202,284.996,283.86146,283.2952,216.947,169.75859,233.0940144,273.5042379,259.5799102,279.765,211.181195,191.78
Tecr,2849.99661,3482.00381,2698.0035,3315.9989,3015.99578,2367.000354,2777.99094,3033.99511,3385.99527,3475.00009,3507.99846,3117.99991
Tecrl,0,0,1,0,0,0,0,0,0,0,0,0
Tecta,0,1,2,1,1,0,0,3.000003,0,0,1,0
Tectb,0,0,0,0,0,0,0,0,0,0,0,0
Tedc1,312.00041,383.84442,311.00213,484.48682,317.00125,219.496106,302.999962,320.000322,357.0006,398.00133,318.00071,330.45027
Tedc2,151.15314,165.02182,130.9045,163.0091,140.19373,108.968622,161.01281,118.99976,136.36094,137.19973,124.99993,140.99991
Teddm1a,0,0,0,0,0,0,0,0,0,0,0,0
Teddm1b,3.02988,2.00647,4.39053,2.29109,0,1.00062,1.00776,2.01287,4.00501,1.0029,2.01484,2.00291
Teddm2,9.00179,4.00121,2,9.00339,12,5.00519,14.0454,9,8.03675,4.03388,6,9.06156
Teddm3,2.50235,1,0,0,5,15,8,4,2,0,5,0
Tef,1935.00224,1661.9995,2279.004,1142.99999,2676.0006,2116.00528,1940.00442,1063.00011,1462.99974,740.00016,1622.00162,2026.99947
Tefm,104,177.9997,146.9999,155.0005,119.99999,144.0002,102.147,171.9997,156.1892,150.1402,205.2516,148.0005
Tek,8,6,6,3,9,8,13,6,6,5,2,8
Tekt1,0,0,1,0,0,0,0,0,0,0,0.99999971,1
Tekt2,3,5,4,0,3,1.60054,3,7,7,4.999997,3,3
Tekt3,0,0,0,0,0,0,0,0,0,0,0,0
Tekt4,1,2.999998853,2,3,3.999998,0,0,0,1,0,1,0
Tekt5,0,1,0,2,0,1,3,2,4.000002,0,0,0
Tektip1,13.65819,19.6002,11.0351,9.20537,4.43668,2.46012,6.00593,9.17852,8.01001,6.43529,7.17431,10.4838
Telo2,235.48662,275.02078,205.065269,229.165353,181.36715,125.04437,206.81282,259.1873345,265.09691,206.43613,272.1563,201.2766434
Ten1,343.3632,399.5316,328.27068,423.52236,353.11256,279.01601,291.2645719,333.3475,392.3623,348.15156,510.9915,393.45378
Tenm1,7.0008,3.07943,22.5730025,7.92309,15.9538,4.36807,4.94496,5,7.55827,10.41955,12.3614,7.55734
Tenm2,0,0,3,0,2,0,0,0,0,3,0,3
Tenm3,24.00001,12.000014,24.999949,6,20.999989,17.00005,33.00004,7,10.000002,3,19,23.000046
Tenm4,9.558732,9.7133,14.933,4.000003,7.41657,6.50818,15.42987,11.64751582,11.7445,3.18362,8.4883,4.2636
Tent2,1011.49649,1117.00087,1030.0002,1026.00043,991.9995,1001.00002,952.4056,1036.00013,1146.99968,1107.37789,1161.3671,1052.99981
Tent2-ps1,1.50328,0,0,0,0,0,1.59455,0,0,1.62178,1.63242,0
Tent2-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Tent4a,529.00038,688.9802,586.00033,654.9798,448.00039,345.000349,458.99995,579,663.85719,554.99921,488.99957,459
Tent4b,1359.0009,1270.00014,1399.9999,1051.9999,1405.9967,1401.999,1336.002405,1450.99808,1424.0006,1248.99551,1322.99885,1336.99739
Tent5a,1751.003,811.9996,1122,785,1520.004,2209.996,1864.998,1143,882,850.0002,1006,1013
Tent5b,9,10,1,6,3,4,5,16,5,9,10,5
Tent5c,276.018,544,298,512.076,243.017,105.006,269,386,408,254.412,281,243
Tent5d,0,0,0,0,0,0,0,0,0,0,0,0
Tep1,2789.00136,2045.46475,3028.99512,2149.99785,2530.08895,2359.99752,2954.67321,2295.00493,2524.33232,2485.65901,1892.39704,2218.99814
Tepp,0,0,0,0,0,0,0,0,0,0,0,0
Tepsin,726.1307,742.13103,826.9788,742.3185,983.713453,792.1686913,823.7123,614.4492,702.258,741.1994632,644.1856,823.0717
Terb1,1.07991,0,1,4,1,0,0,5.15282,2,2,1.03191,1
Terb2,0,0,0,0,0,0,0,0,0,0,0,0
Terc,5,2,1,4,2,0,1,1,1,1,2,0
Terf1,319.21496,404.18982,339.38207,486.75704,256.23236,312.00557,256.10597,378.56868,366.20177,436.3134,384.2034,283.98031
Terf2,685.99966,829.00013,574.0001,641.99995,485.99987,378.00013,569.00016,592.99974,648.00051,604.99926,589.99928,497.99989
Terf2ip,405.0142,431.4121,425.8196,403.8944,393.54617,369.21341,349.24124,399.29915,387.0072,402.5408,445.3031,382.7805
Tert,175.00025,379.00035,167.00027,124.00071,125.96597,79.0602,142.00007,321.99999,227.00033,191.00016,255.99976,167.99952
Tes,1226.00329,1545.98861,1284.99864,1321.0037,1710.99713,1955.99199,1251.00229,1986.99438,1852.00191,1656.00143,2551.00299,2023.99632
Tes3-ps,5.8959,16.9215,10.1989,7.44522,2.78229,10.9807,4.48167,15.2736,7.64162,11.7631,3.86641,7.35816
Tesc,14.99995,5,10,8,3,11,5,8,10,5,9,9
Tescl,0,1,0,0,1,0,0,1,0,1,0,1
Tesk1,1145.014,1274.39538,1094.95306,1183.98728,1177.99031,980.219,1047.68926,1101.058,1314.19224,1214.69116,1121.79145,1284.49352
Tesk2,820.4768,644.2886,818.74974,388.8089,1200.17923,1265.2079,1107.93768,827.677,629.0552,560.44181,929.6308,895.65894
Tesl1,0,4.00898,0,0,1,2.00532,0,4.00697,0,0,0,1
Tesl2,0,0,0,0,0,0,0,0,0,0,0,0
Tesmin,4.0000006,1,7,4,5,2,7,3,4,3,10,6
Tespa1,1,0,2,2.24068,1.20314,1.999997,0,1,2,2.19932,1,6.34003
Tet1,36.0310941,32.04822834,53.12933,27.06101,28.14309037,13.0221,39.1134658,25.081717,39.025371,25.03917,23.33547,19.088436
Tet2,596.0218,428.0052447,510.08287,403.04098,358.6063,252.9485,452.0713,471.04999,421.60906,402.64096,320.078842,263.202779
Tet3,2933.005,2240.0005,2667.99623,1933.99904,1924.99978,1524.9975,2286.9962,1970.03276,1884.00216,1873.00421,1404.00262,1366.99567
Tex10,481.47274,564.76694,444.01665,588.52395,377.6948202,280.97086,431.13306,520.29218,555.30343,490.17964,561.5600042,441.52804
Tex101,0,0,0,0,0,0,0,0,0,0,0,0
Tex11,0,0,0,0,0,0,0,2.000003278,0,0,0,0
Tex12,78,79,43.99997,34,36,40.00002,42,87,71,86,132,55
Tex13a,0,0,0,0,0,0,0,0,0,0,0,0
Tex13b,3,8.00201,6.92908,5.01586,5.0035,1,5.01309,8.10257,3,5.0124,3.02729,0
Tex13c1,0,0,0,0,0,0,1,0,0,0,0,0
Tex13c3,0,0,0,0,1,0,0,0,0,0,0,0
Tex13d,0,0,0,0,0,0,0,0,0,0,0,0
Tex14,0,3,4.24068,3,1,0,3,1,3,0,1,2.31444
Tex15,0,0,0,0,0,0,0,0,0,0,0,0
Tex16,0,0,0,0,0,0,0,0,0,0,0,0
Tex19.1,0,1,0,0,0,1,0,0,0,0,0,1
Tex19.2,0,0,0,0,0,0,0,0,1,0,0,0
Tex2,1019.93306,1234.08307,1272.3293,892.0307,1138.27553,1019.80573,996.51468,1347.1042,1474.486,1426.51524,1330.85984,1329.57091
Tex21,1,2,0,0,2,0,1,0,1,0,0,0
Tex22,1,1,0,0,0,0,0,0,0,0,0,0
Tex24,0,0,0,0,0,0,0,0,0,0,0,0
Tex26,0,0,0,0,0,0,0,0,0,0,0,0
Tex261,1980.21982,2131.1421,2091.25476,2296.03182,2642.19084,2394.10554,1979.05727,1970.12883,2172.1768,2352.07975,2227.09573,2361.09744
Tex264,514.0003,514.00054,542.99915,559.99968,781.00077,725.99963,606.00033,446.00023,557.00039,561.00046,602.00004,764.99964
Tex28,0,0,0,0,0,0,0,0,0,0,0,0
Tex29,1,0,1,0,0,0,1,1,0,0,1,0
Tex30,215.00009,334.99989,205.99998,373.99961,240.00008,251.0000145,226.00001,306.00019,306.00002,252.00001,361.99966,295.99975
Tex33,0,0,0,0,0,0,0,0,0,0,0,0
Tex35,0,0,0,1,0,0,0,0,0,0,0,0
Tex36,0,0,0,0,0,0,1,0,0,0,0,0
Tex37,0,0,0,0,0,0,0,0,0,0,0,0
Tex38,7,4,8,5,7,4,6,8,3,7,9,5
Tex43,0,1,0,0,0,0,0,0,0,0,1,0
Tex44,0,0,0,0,0,0,0,0,0,0,0,0
Tex45,0,1,0,0,0,0,0,0,1,2,0,1
Tex46,0,0,0,0,1,0,0,0,0,0,0,0
Tex47,0,0,0,0,0,0,0,0,0,0,0,0
Tex48,0,0,0,1.000000206,0,0,0,0,0,0,0,0
Tex49,37,44,43,88,27,30,31,54,50,84,51,55
Tex50,0,1,1,0,0,0,0,0,0,0,4,0
Tex51,2.00265,1.00487,1.00484,0,0,0,0,2.00336,0,0,1.00275,0
Tex52,3.0115,2.00643,3.02413,4.01278,0,0,4.03901,1,2,3.02743,0,0
Tex53,0,0,0,0,0,0,0,0,0,1,0,0
Tex54,3,3,3,5,3,0,4,2,4,5,4,4
Tex55,0,0,0,0,0,0,0,0,0,0,0,0
Tex56,8.033981,10,8.0363,7.05411,17.1249,16.0407,12.05864,8,8.015913,6.01846,13.0673,25.15962
Tex9,65.54296,47.934867,45.62448,83.56504,55.87576,18.917361,33.729838,51.822596,55.68513,50.25082,61.06026,44.775877
Tfam,1273.9993,1125.0005,993.5701,1283.9997,978.9421,1048.9292,1082.9997,1056.00063,1028.9995,923.3026,1204.9224,1058.617
Tfap2a,2,1.08123,2,3,0,2.07633,1,0,2,3.184603,1.00022,0
Tfap2b,1.0246,3.24446,1.01772,1.00003,0,3.00003,0,0,0,0,1.00001,0
Tfap2c,4,0,2,1,3,2,0,7,3,1,7,1
Tfap2d,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2e,0,0,2,0,0,2,0,0,0,0,0,0
Tfap4,438.00018,552.99997,274.96614,436.006,348.00278,271.99988,376.99991,465.0001,458.00022,320.9738,530.055,401
Tfb1m,143.36527,185.43018,146.12732,158.23131,127.90767,89.81351,118.49728,162.72567,140.5793,118.25399,161.23068,122.29119
Tfb2m,965.99994,1090.93454,794.99983,1093.0029,711.92437,668.91291,831.99997,1001.8782,983.94052,891.99993,1073.99835,759.00027
Tfcp2,150.63303,145.70318,124.45584,156.510861,115.10382,108.0239,154.9272,159.20633,158.88237,132.60509,141.4173,161.16759
Tfcp2l1,877.639,542.67,409.76744,316.81255,505.71511,777.18463,708.227,942.60894,375.871,387.51677,933.062,363.724
Tfdp1,1779.99996,2268.0006,1740.99993,2468.99953,1512.99937,1414.00062,1481.99984,2017.99978,2265.00072,2046.00114,1943.99962,1871.99994
Tfdp2,2068.728497,1996.70952,1787.4829,1586.18396,1280.00404,1205.07135,1732.26575,1936.21766,1695.67905,1463.10099,1402.884401,1330.403202
Tfe3,724.0001885,795.9999325,824.71274,771.80301,881.99939,806.0004,734.9992459,740.0003283,846.000115,903.824254,689.0004478,873.99954
