"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006829","BP","GO:0006829","zinc ion transport","3/80","26/14811",0.000360726660003098,0.00535735453645227,0.00443788719872233,"Slc30a10/Slc39a8/Slc30a2",3
"GO:0019724","BP","GO:0019724","B cell mediated immunity","6/80","176/14811",0.000375343037855796,0.005492255265796,0.004549635304206,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Fgl2",6
"GO:1903557","BP","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","5/80","114/14811",0.000375588208602567,0.005492255265796,0.004549635304206,"H2-Q1/Ptprj/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002437","BP","GO:0002437","inflammatory response to antigenic stimulus","4/80","64/14811",0.000392042020164831,0.0056890983231553,0.00471269475425141,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","9/80","416/14811",0.000396721249500465,0.00571338708560898,0.00473281490632134,"Hpse/H2-Q1/Ptprj/H2-Q2/H2-Bl/Tlr5/Icosl/H2-Q10/Pla2g3",9
"GO:0042267","BP","GO:0042267","natural killer cell mediated cytotoxicity","4/80","65/14811",0.000416046840206681,0.00594665446039775,0.00492604727304468,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002698","BP","GO:0002698","negative regulation of immune effector process","5/80","118/14811",0.000440182258749736,0.00619708126037635,0.00513349404220661,"H2-Q1/H2-Q2/H2-Bl/H2-Q10/Fgl2",5
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","8/80","335/14811",0.000443347212736025,0.00619708126037635,0.00513349404220661,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Pla2g3/Sox13/Tnfsf13b",8
"GO:0002697","BP","GO:0002697","regulation of immune effector process","8/80","335/14811",0.000443347212736025,0.00619708126037635,0.00513349404220661,"Raet1e/H2-Q1/Ptprj/H2-Q2/H2-Bl/H2-Q10/Pla2g3/Fgl2",8
"GO:0002228","BP","GO:0002228","natural killer cell mediated immunity","4/80","67/14811",0.000467177145451932,0.00648250914966513,0.00536993476447246,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002819","BP","GO:0002819","regulation of adaptive immune response","6/80","186/14811",0.000503434082428097,0.00693498688910009,0.00574475505196364,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10/Tnfsf13b",6
"GO:0019731","BP","GO:0019731","antibacterial humoral response","4/80","69/14811",0.000522636864315407,0.00714771711556539,0.00592097500201324,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002704","BP","GO:0002704","negative regulation of leukocyte mediated immunity","4/80","70/14811",0.000552053766947397,0.00749610150690716,0.00620956718310757,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation","9/80","439/14811",0.000585391693619713,0.00789240857851826,0.00653785721280397,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Fgl2/Sox13/Tnfsf13b/Foxn1",9
"GO:0002705","BP","GO:0002705","positive regulation of leukocyte mediated immunity","5/80","129/14811",0.000661225798946021,0.00879014156500969,0.00728151487098452,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0050729","BP","GO:0050729","positive regulation of inflammatory response","5/80","129/14811",0.000661225798946021,0.00879014156500969,0.00728151487098452,"H2-Q1/H2-Q2/H2-Bl/H2-Q10/Pla2g3",5
"GO:0002712","BP","GO:0002712","regulation of B cell mediated immunity","4/80","74/14811",0.000681564869529352,0.00893555046189861,0.00740196765746578,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002889","BP","GO:0002889","regulation of immunoglobulin mediated immune response","4/80","74/14811",0.000681564869529352,0.00893555046189861,0.00740196765746578,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002520","BP","GO:0002520","immune system development","6/80","201/14811",0.000756736806088759,0.00985312786558035,0.00816206389263723,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Foxn1",6
"GO:0032398","CC","GO:0032398","MHC class Ib protein complex","4/82","16/14862",1.48948089574877e-06,0.000137712619133589,0.000114335161919659,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0042824","CC","GO:0042824","MHC class I peptide loading complex","4/82","16/14862",1.48948089574877e-06,0.000137712619133589,0.000114335161919659,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0042612","CC","GO:0042612","MHC class I protein complex","4/82","17/14862",1.93961435399421e-06,0.000137712619133589,0.000114335161919659,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0005797","CC","GO:0005797","Golgi medial cisterna","4/82","25/14862",9.96864448688294e-06,0.000530830318926517,0.000440719019420088,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0042611","CC","GO:0042611","MHC protein complex","4/82","28/14862",1.59331228563053e-05,0.000678751033678607,0.000563529397865115,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0070971","CC","GO:0070971","endoplasmic reticulum exit site","4/82","33/14862",3.11819211181886e-05,0.0011069581996957,0.000919046096115033,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0033106","CC","GO:0033106","cis-Golgi network membrane","3/82","17/14862",0.00010411054855334,0.00316793526312307,0.0026301612266107,"H2-Q1/H2-Q2/H2-Q10",3
"GO:0046703","MF","GO:0046703","natural killer cell lectin-like receptor binding","5/81","23/14664",1.41242463842184e-07,3.69541677990783e-05,3.29258502763323e-05,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0062061","MF","GO:0062061","TAP complex binding","4/81","11/14664",2.7681024568598e-07,3.69541677990783e-05,3.29258502763323e-05,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0042610","MF","GO:0042610","CD8 receptor binding","4/81","14/14664",8.29127714532762e-07,5.53442749450619e-05,4.93112798643169e-05,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0046977","MF","GO:0046977","TAP binding","4/81","14/14664",8.29127714532762e-07,5.53442749450619e-05,4.93112798643169e-05,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0030881","MF","GO:0030881","beta-2-microglobulin binding","4/81","18/14664",2.49232149062465e-06,0.000133089967599356,0.000118582033027615,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0042608","MF","GO:0042608","T cell receptor binding","4/81","25/14664",1.00045717590711e-05,0.000445203443278665,0.000396672494307031,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0042288","MF","GO:0042288","MHC class I protein binding","4/81","26/14664",1.17740294897556e-05,0.000449095124823534,0.000400139949576656,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0042605","MF","GO:0042605","peptide antigen binding","4/81","31/14664",2.42658105805316e-05,0.000809871428125243,0.000721588577789493,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0046978","MF","GO:0046978","TAP1 binding","3/81","12/14664",3.44621387075716e-05,0.000857258000926677,0.000763809612495285,"H2-Q1/H2-Q2/H2-Q10",3
"GO:0046979","MF","GO:0046979","TAP2 binding","3/81","12/14664",3.44621387075716e-05,0.000857258000926677,0.000763809612495285,"H2-Q1/H2-Q2/H2-Q10",3
"GO:0042287","MF","GO:0042287","MHC protein binding","4/81","34/14664",3.53177453565298e-05,0.000857258000926677,0.000763809612495285,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0046915","MF","GO:0046915","transition metal ion transmembrane transporter activity","4/81","36/14664",4.44844337101959e-05,0.000989778650051859,0.000881884387588095,"Slc30a10/Mmgt2/Slc39a8/Slc30a2",4
"GO:0005385","MF","GO:0005385","zinc ion transmembrane transporter activity","3/81","21/14664",0.000200996010733961,0.00412814883584366,0.00367814562152836,"Slc30a10/Slc39a8/Slc30a2",3
